Session ID,Purchase.Intention,Household.income,Age ,Adults.household,Chidren.household,LFC,NB,LP,CF,Flavors,why.purchase,why.dont.purchase
225451945,,"$50,000 - $75,000",40.5,2,0,0,1,2,3,,,
225451950,3,Prefer not to say,60.5,3,0,0,3,1,2,"vanilla, cherry vanilla, mint choc chip",,Maybe next time I will try it.
225451954,3,"$50,000 - $75,000",40.5,3,1,0,2,1,3,"Mint Chocolate Chip, Oreos or Cookies and Cream, Pistachio, Neapolitan",,"Different reasons at different times - couldn't find flavor I wanted, price, mood...etc."
225451982,1,Prefer not to say,60.5,2,0,3,1,0,2,,,Haven't noticed it.
225451989,2,"$50,000 - $75,000",50.5,2,0,1,0,3,2,,,because I like their regular ice cream better
225452024,4,Prefer not to say,60.5,1,0,1,2,0,3,Any,,Not on sale. 
225452031,1,Prefer not to say,50.5,2,1,2,1,3,0,,,Usually another name brand is on sale
225452048,3,"$75,001 -  $100,000",30.5,1,0,3,1,2,0,,,
225452057,,"$150,001 - $200,000",40.5,2,2,0,2,2,2,,,
225452088,3,Prefer not to say,40.5,3,1,3,0,2,1,"Vanilla, cookie dough, neopolitan, mint choc chip, cookies and cream, strawberry",Healthier than regular ice cream,
225452093,4,Prefer not to say,50.5,2,2,1,2,0,3,"Vanilla with peanut butter twirl, vanilla with caramel, chocolate with peanut butter twirl, black raspberry with chocolate chips, orange sherbert with vanilla ice cream. oreo cookie, chocolate chip. ",,Wasn't aware if it.
225452110,4,"$50,000 - $75,000",50.5,1,0,3,2,1,0,"chocolate chip, vanilla, mint chocoalte chip",curious,
225452111,,"$75,001 -  $100,000",40.5,4,2,0,1,3,2,,,
225452126,,"$100,001 - $150,000",50.5,2,2,0,1,2,3,,,
225452128,,"$100,001 - $150,000",40.5,2,0,0,2,1,3,,,
225452133,3,"$150,001 - $200,000",30.5,2,2,0,2,2,2,"cookie dough, cookies 'n cream, brownie bits, mint chip",,Don't often shop at Wows
225452134,4,"$100,001 - $150,000",30.5,2,2,3,2,0,1,n/a,,I like the regular
225452136,2,"$100,001 - $150,000",60.5,2,0,2,1,0,3,,,I like edy's
225452139,3,"$100,001 - $150,000",60.5,1,0,1,2,0,3,"Neopolitan, vanilla with raspberry, vanilla fudge, ",,Haven't seen a flavor that we would want to try.
225452151,,"$50,000 - $75,000",30.5,2,0,0,3,1,2,,,
225452155,1,"$75,001 -  $100,000",30.5,2,1,3,2,0,1,,,Usually only go to Wow's for special items.  The ice cream would thaw by the time I got home.
